TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
0	-11.388014400000003	14.3548104	-23.898000000000003	0.8071421786225766	-0.18059003794679132	-0.31161111010338866	-0.467768380443688	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_00.png
1	-11.388014400000003	10.486896000000002	-23.898000000000003	0.8162278641744759	-0.18137543012703358	-0.3517201893981848	-0.4209132160684811	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_01.png
2	-11.388014400000003	6.618998400000001	-23.898000000000003	0.8272285582515312	-0.17198931024619563	-0.3974822242149484	-0.35793920015453545	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_02.png
3	-11.388014400000003	2.7510840000000005	-23.898000000000003	0.8402353394482809	-0.14458036162030244	-0.4459895737886488	-0.27238647809279026	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_03.png
4	-11.388014400000003	-1.116820656	-23.898000000000003	0.8532568939440535	-0.09063299220877112	-0.48855124256111093	-0.1582909253628442	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_04.png
5	-11.388014400000003	-4.9847280000000005	-23.898000000000003	0.8602766453471102	-0.011202126638916657	-0.5093531603401172	-0.018919933420148142	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_05.png
6	-11.388014400000003	-8.8526424	-23.898000000000003	0.85596111016367	0.07202771569983722	-0.4967264787392683	0.12411845703894453	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_06.png
7	-11.388014400000003	-12.720540000000002	-23.898000000000003	0.8437707715987992	0.133421082923627	-0.45810364661920205	0.24574529208357748	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_07.png
8	-11.388014400000003	-16.588454400000003	-23.898000000000003	0.8304237365993106	0.167000726233228	-0.40998471129069564	0.3382598285902398	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_08.png
9	-9.6715248	-20.732376000000002	-23.898000000000003	0.7971979059736851	0.19993390446685047	-0.3631800685247262	0.43886463788073304	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_09.png
10	-5.5275528	-22.448832	-23.898000000000003	0.7351820241914317	0.24526745190575466	-0.3374997368817889	0.5342707141011669	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_10.png
11	-1.3835824800000003	-20.732376000000002	-23.898000000000003	0.6587235811623244	0.30418006710000595	-0.33259705190863853	0.6024424714953296	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_11.png
12	0.33290779200000004	-16.588454400000003	-23.898000000000003	0.5969218221131558	0.3690349305154634	-0.3574920230102889	0.6161955954310029	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_12.png
13	0.33290779200000004	-12.720540000000002	-23.898000000000003	0.5623298932776601	0.4192324117304659	-0.3992830439046987	0.5904255473225991	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_13.png
14	0.33290779200000004	-8.8526424	-23.898000000000003	0.5099165069535875	0.4812396180620918	-0.4334439313148788	0.5661448086399862	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_14.png
15	0.33290779200000004	-4.9847280000000005	-23.898000000000003	0.3301724863066375	-0.618453907471504	-0.320573586824525	-0.6369721101035587	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_15.png
16	0.33290779200000004	-1.116820656	-23.898000000000003	0.5266618809271191	-0.4629322145938648	-0.4270399969394164	-0.5709272010366226	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_16.png
17	0.33290779200000004	2.7510840000000005	-23.898000000000003	0.5724131858722293	-0.4055114234538908	-0.3885077695545944	-0.5974657672902424	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_17.png
18	0.33290779200000004	6.618998400000001	-23.898000000000003	0.6041993767524783	-0.35720855763706905	-0.34694547566966955	-0.6220723401623869	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_18.png
19	0.33290779200000004	10.486896000000002	-23.898000000000003	0.627399892659	-0.31564360979258066	-0.30874633224400555	-0.6414157689162767	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_19.png
20	0.33290779200000004	14.3548104	-23.898000000000003	0.6444166315962477	-0.28032295936134854	-0.2753809581985061	-0.6559813802530636	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_20.png
21	2.0493984	18.498816	-23.898000000000003	0.6337193523286029	-0.2565967405857732	-0.23541015554198444	-0.6907531786916887	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_21.png
22	6.1933704	20.215272	-23.898000000000003	0.5845602910268427	-0.25662064546881497	-0.20197245991683482	-0.7427262186761178	C:\Users\laurel\dev\ff\scripts\data\3d_reconstruction\angel\v1_initial\cv0\images\pose_22.png
