TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
0	-21.028427124023438	57.84767532348633	-4.164540767669678	-0.4928982698380015	2.9593949344650563e-08	-7.090105182176726e-09	0.8700871290428317	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_00.png
1	-25.99382972717285	65.03119659423828	-8.4718017578125	-0.634296703227927	0.013490600323631564	0.011071536700470746	0.7728929185379076	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_01.png
2	-50.45354461669922	43.38297653198242	-19.38813018798828	0.7594475437257939	-0.1939408007703152	-0.26149877973358054	-0.563244811403208	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_02.png
3	-54.95578384399414	62.14090347290039	-21.120988845825195	0.8293311852221604	-0.10208247734592016	-0.16120574198822152	-0.5251682354238554	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_03.png
4	-56.57655334472656	54.17085266113281	-20.256074905395508	0.7966299761472491	-0.129528795447275	-0.18391679165121605	-0.5610502674107375	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_04.png
5	-45.81828689575195	59.48324966430664	-17.315149307250977	-0.7002253430814822	0.09841004280787523	0.0984100563884356	0.7002253533151738	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_05.png
6	-57.786293029785156	52.01801681518555	-8.124656677246094	0.8575978819986512	-0.008972331155469783	-0.014969658410150766	-0.5140243070833854	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_06.png
7	-91.819091796875	16.61561393737793	-20.835323333740234	0.9854123937716961	-0.012788406282629686	-0.08621230891349979	-0.14617232327182003	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_07.png
8	-66.10995483398438	10.15251636505127	-7.134459018707275	0.9757020559066076	2.009315526988625e-09	-3.1161075424240665e-08	-0.21910124102720202	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_08.png
9	-41.128963470458984	24.52857208251953	-40.52843475341797	-0.6408562919072313	0.2988364935592677	0.29883651933117694	0.6408562378575011	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_09.png
10	-38.27484893798828	23.690685272216797	-40.34603500366211	-0.6408562919072313	0.2988364935592677	0.29883651933117694	0.6408562378575011	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_10.png
11	-32.96484375	18.65361976623535	-37.73133087158203	-0.6184494794142801	0.3428122425036692	0.34281221597946726	0.6184494098019173	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_11.png
12	-29.801794052124023	21.80908966064453	-37.44818878173828	-0.5919753391698506	0.320010441660441	0.27604276525409044	0.686264144805294	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_12.png
13	-34.03107452392578	18.587114334106445	-36.11647033691406	-0.6184494794142801	0.3428122425036692	0.34281221597946726	0.6184494098019173	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_13.png
14	-27.13738441467285	22.4609317779541	-39.068603515625	-0.5919753391698506	0.320010441660441	0.27604276525409044	0.686264144805294	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_14.png
15	-33.502079010009766	11.525362014770508	-42.764549255371094	-0.019072092780180603	0.6291308198311927	0.015444291651110074	0.7769118522910557	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_15.png
16	-34.37247848510742	13.668868064880371	-50.155189514160156	-0.5647205381245474	0.42554760543212766	0.4255476031384682	0.5647205378021949	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_16.png
17	-46.31827926635742	21.281139373779297	-47.1069221496582	-0.6184494794142801	0.3428122425036692	0.34281221597946726	0.6184494098019173	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_17.png
18	-41.6213264465332	20.28742790222168	-43.609214782714844	-0.6184494794142801	0.3428122425036692	0.34281221597946726	0.6184494098019173	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_18.png
19	-51.682743072509766	18.69618034362793	-38.00738525390625	-0.49301632347207014	0.48647123850290835	0.3992365046527216	0.6007419433850266	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_19.png
20	-54.81813430786133	11.507028579711914	-37.547584533691406	0.7311458827221874	0.2636016910066832	-0.4931641426413474	0.3908056522657918	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_20.png
21	-77.6692886352539	8.048620223999023	-5.731990337371826	0.9996987047387486	-3.139716617905332e-09	-2.19200635792012e-08	-0.024541296800684256	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_21.png
22	-41.50099182128906	9.988940238952637	-46.58449935913086	-0.5647205381245474	0.42554760543212766	0.4255476031384682	0.5647205378021949	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_07_A_airsim\optimized_2D\pose_22.png
